Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,381,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782548014162200.126	,10.260,0,0,0,NO,N/A,N/A,N/A,"""16,5120""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,381,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782548014162906.080	,9.240,695.490000,40,0,NO,"""16,5120""",FLOAT,ND,"""16,5120""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879,454009,0.044,0.006,1.208,0.176,1.237,0.18,0.247,0.036,0.181,0.000
0,4294967295,4,381,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782548014163226.347	,1.360,311.010000,0,0,NO,N/A,N/A,N/A,"""128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,381,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782548014163260.247	,1.200,32.640000,1,0,NO,"""128""",FLOAT,ND,"""128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,1117,0.025,0.038,0.276,0.407,0.235,0.347,0.113,0.167,0.0,0.000
0,4294967295,7,381,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1782548014163314.568	,1.380,53.050000,0,0,NO,N/A,N/A,N/A,"""128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,8,381,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782548014163337.809	,1.200,21.870000,1,0,NO,"""128""",FLOAT,ND,"""128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1072,0.025,0.039,0.253,0.389,0.224,0.344,0.119,0.184,0.0,0.000
0,4294967295,10,381,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1782548018792665.883	,1.140,4629327.050000,0,0,NO,N/A,N/A,N/A,"""16""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,11,381,aclnnInplaceRandom_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782548018793132.292	,1.840,465.110000,1,0,NO,"""16""",FLOAT,ND,"""16""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159,927,0.051,0.044,0.394,0.34,0.223,0.192,0.149,0.128,0.164,0.000
0,4294967295,12,381,split_qkv_rmsnorm_rope_kernel,split_qkv_rmsnorm_rope_kernel,static,AI_VECTOR_CORE,1782548018914447.896	,12.800,121313.910000,40,0,NO,"""16,5120;262144,128;16""",DT_BF16;DT_BF16;INT64,ND;ND;ND,"""16,4096;16,512""",DT_BF16;DT_BF16,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.362,617904,1.162,0.124,1.968,0.21,2.428,0.259,0.809,0.086,0.115,0.000
0,4294967295,13,381,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1782548018927618.479	,6.740,13157.700000,16,0,NO,"""262144,128;16;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""16,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133,135500,0.017,0.003,2.317,0.451,0.796,0.155,0.122,0.024,0.14,0.000
0,4294967295,14,381,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1782548018929923.305	,7.320,2298.010000,32,0,NO,"""16,2,64;3""",DT_BF16;INT64,NCL;ND,"""16,2,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.453,235127,0.07,0.016,0.482,0.108,0.108,0.024,0.121,0.027,0.194,0.000
0,4294967295,15,381,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1782548018963715.580	,2.820,33784.930000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.681,22190,0.008,0.005,0.384,0.229,0.109,0.065,0.12,0.072,0.223,0.000
0,4294967295,16,381,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1782548018964051.647	,2.360,333.430000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338,17668,0.008,0.006,0.354,0.264,0.11,0.082,0.12,0.09,0.199,0.000
0,4294967295,17,381,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782548018965233.931	,6.660,1179.890000,40,0,NO,"""16,4096""",DT_BF16,ND,"""16,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862,254873,0.04,0.01,0.178,0.046,0.377,0.098,0.363,0.094,0.211,0.000
